index,text
160,"After dropping $3000 at the ER last year just to find out my 5 year old had heartburn and should take kids Tums, I vowed never again! And I haven't . 

This place is all you need. I will even go here over the pediatricians office if I think an X-ray is needed because they have it in-house. One less copay! Yea! 

The wait has never been long, the waiting room and examination rooms are always spic and span clean (cleaner than hospitals!) and the staff has always been courteous and competent. Need I say more? I hope you never have the need to go, but if you do..... don't hesitate!"
161,"Never again! After leaving this place I changed my PCP immediately. The facility is nice enough, and the girls that work the front were very helpful and nice. However, that's where the good experience ended. The wait time was ridiculous (it got up to one hour and I still had not been seen by the Dr.). The nurse that took me back after about 40 minutes of waiting was just downright rude and unprofessional with a bad attitude. So much in fact, that I refused to speak to her anymore until she got a different nurse. The replacement nurse (to their credit) was very kind and helpful but seemed disinterested in the previous happenings, and I got the impression she was just trying to get through the day. Tic toc tic toc, we are now up to one hour(and still was not yet seen by dr.) so I walked out of there. I needed blood work too so I can only imagine how long that would have taken. I don't have all day to be treated like crap on top of waiting forever. I DO have a job and things to do. My time is valuable too and there's no need to be an jerk-especially if you are in anything service oriented! And especially a NURSE! Combine the above things with no instructions over the phone on fasting etc even though I mentioned I wanted blood work several times and no appointment reminder (I had to call myself that morning to make sure they had me down). This place seems very disorganized and unprofessional. I expect FAR better care and customer service than this, from a dry cleaner much less the DOCTORS OFFICE. If you want to wait forever & then be treated like a number instead of a human, this is the perfect place. I however, will never be back."
162,Need to be zero stars. They don't answer their phones. Cancel due to equipment failure. Twice! Have been here over two hours for a MRI. Don't go here if you value your time! Never again!
163,"AVOID, AVOID, AVOID!!!!

My new insurance was going through application, so I had to pay cash when I went. So, they charge me to see the doctor, which was $130 approximately and then they tell me I am seeing a Physicians Assistant. Why are you billing me for a doctor's visit? There wasn't even a doctor there I come to find out. That's ridiculous.

So, I submit a claim to United Healtcare afterwards for reimbursement, but my claim gets denied. The letter says that info had been requested from Primary Care Center, but was ignored by them. All they asked for the diagnosis code, Physicians name, and their tax payer ID number. So, I had down there just to get these three things. So, I wait, and my letter goes to the back and then they come back with a printout of my diagnosis. So, I ask where is the tax-payer ID number? They responed, what is that? I finally had to wait on someone from the business office to come up and give it to me. What a bunch of f@cking idiots. Thank you for completely ignoring my insurance and making me do all of the work myself. 

NEVER AGAIN!"
164,"Don't pass judgement on people of color! A Dr. job is to help clients with pain relief as much as possible. Patients personal life is not for the Dr. to pass any kind of judgement! 
Some Dr. need to get themselves together & do their job! Don't look down your nose at your patients! We're real people with a lot of real pain going on & the last thing any patient needs is a condescending attitude! I would Never recommend this place to anyone! Ever! Never been treated with such disrespect! Never again! Dr. needs training on how to respect their new incoming patients! Btw Your staff is immensely impeccable! Unfortunately, the Dr. is Not! I think the Dr. should take more than a few tips from their staff!"
165,Had to go back 3 times because they couldn't get my glasses done properly. They were going to charge me an additional $60 to change my frames to the proper ones. The ones I asked for in the first place. I instead asked for a full refund. I had no confidence that they would get it right the fourth time. So they rather lose a $600 sale instead of waiving a charge of $60. Never again!  I'll go to the competition.
166,"Worst experience ever in my life with a specialist.  From some of the other bad reviews I've read it looks like we had the same experience.  The care I got from Dr. Fo put my life at risk by her not providing me the information and explaining all of my condition.  The cardiologist I see now is explains everything, is proactive, his office is nice and the service is excellent unlike what I experienced is Dr. Chalkias office.  Never again!"
167,"Regardless of you being a urgent care center. People come to you when they are in need. That means you are providing a service. Customer service is non existent here. The staff in the front is horrible. Seems like no one knows what's going on. Very Rude staff, slow, long wait time in waiting area. Longer wait in back waiting room! Worst part is we got done with the Dr. And still had to go wait in waiting room for 20min to check out! Never again!"
168,"Nah, more like a snake oil salesman.

I came in with high hopes based on other reviews. Fist off, he told me over the phone the visit would cost me '60 bucks', which magically transformed into $115 at check out. What the $*?&%##?? Explanation, 'ah, 60 bucks to check you and the extra is for the treatment'. That's not what he told me on the phone. Why would I have agreed to come in to hear what ailments I have (which I already know) and not get treated??? I explicitly asked because the insurance would not cover his treatment -- and now it was blatantly obvious why.

Anyhow, after hearing his long diatribe about how 'real medicine' is broken, blah, blah, and reading though the little card I filled out, he proceeded with the test and treatment. His excited words at the end: ""That's it, you're fixed!"". Wow -- I couldn't believe it. Really, I asked? Yeap.

After the overcharge/payment shock (fiasco, really), he shamelessly asked me to come in the next day for 'an adjustment' -- What the  $*?&%##?? Am I not already 'fixed'? Oh, yea but I want to do a follow up.... Which, of course, would NOT bee free of charge. I think Christmas was fast approaching and he probably needed a larger cash supply...

Needless to say, I had a huge flareup just as I was driving away. Thankfully it died out by next day. Never again!"
169,Beware if you don't have insurance or insurance only covers a limited number of visits. They'll charge you an outrageous amount for a 15 minute visit with an NP. They'll charge the patient 3-4 times what they would pay your insurance company. Never again!
170,"Two Words: Never Again! I experienced the slowest, most subpar service in the history of mankind topped off with excuses, attitude and a whopping $65 bill for a simple fill in with gel polish. Please save your money unless you're in the know about this salon because I was robbed and now have to go elsewhere and pay again to have it fixed."
171,"I made an appointment to go for a cleaning, when I got there they could not verify my insurance, the secretary Brianne kept asking me if I am sure that I have dental insurance! Really? How do you not know or sure that you have insurance?? Also, while I was sitting in the room, Brianne called me and left me a voicemail that I am late for my appointment and next time I should just reschedule!! Really??Anyways, after I got my cleaning on the next appointment, my tooth started hurting and they told me that I will need a root canal. Ok at this point I was like just pull it out, no they kept insisting that I should save the tooth, ok! I asked the secretary if she can tell me how much it would cost for a root canal, she quoted me $154, and explained that my insurance will cover 90% and I have to pay 10%.  Ok cool sounds good to me not expensive.  Made an appointment for a root canal, came in they started on my tooth, everything was fine.  I was done and ready to pay my copayment of $154, the office manager gives me a price of $435 or something close to that!! I'm not paying that because that is not what I was quoted, so the office manager said ""oh we didn't have an updated sheet of your coverage, but this is how much you owe now, wow!! I paid $154 and that was that, they are now billing me the rest of the amount, which I am not paying! This was at the end of last year 2011.  

So we are now in April 2012, I made an appointment to see another dentist.  he takes an xray of the tooth that had a root canal and tells me your tooth never had a root canal done.  At this point I didn't know what to say, so he shows me an xray of a tooth that had a root and my tooth, looks different. You can tell that nothing was done!!! 

I called Gentle Dental and explained to them what happened, so now I am waiting for a phone call from the dentist Dr.Rayev and the office manager Brenda.

Everyone told me not to go to Gentle Dental, but I did anyways.  Never again!!! Please listen when people tell you not go to Gentle Dental."
172,"This was my second time at a Joint location. I should have gone with my gut after reading the reviews, however my upper back desperately wanted relief. NEVER AGAIN! The chiropractor was very argumentative and downright rude when I told him that I was uncomfortable having my neck manually popped. The adjustment took about 1.5 minutes and I left hurting in places that I don't normally hurt. A day later I am still in so much pain and will have to go back for another adjustment but will find a different place. The original spot in my upper back still hurts but that pain is pales in comparison to all of the new pain from the adjustment. Despite the rude and argumentative chiropractor, my biggest problem with The Joint is the sales pitches. Although my adjustment took under 2 minutes, the sales pitch about packages and monthly memberships took 10+ minutes (both times I went to The Joint!) Listen up, the way you get repeat customers is by our experience!! Not by a sales pitch! If I have a good experience, and feel that my concerns are heard, I feel good after an adjustment, and the staff is friendly, I will be back! Don't waste your time and money!! The concept of lower cost chiro care and a walk in facility are great, however the reality is this place needs to rethink the customer experience!"
173,"Should you want your time wasted, receive poor customer service and pay exorbitant prices then this is the place for you! After making an appt., confirming the appt. and receiving an e-mail reminding me of the appt. time and the importance of being on time, I sat for nearly an hour to be seen. My time is just as valuable as theirs but that makes no difference to them.  I had a previous experience with this place once before and vowed never to go back but had no choice due to my insurance coverage and even advised them of this at the very beginning of the process but apparently they don't care. Well Never again! I am canceling my insurance and will save the money I spend on premiums to use for my glasses next time and purchase them from someone who cares about me rather than their greedy interests."
174,"Too bad there is no option for less than one star!

THE DOCTOR DIDNT EVEN LOOK AT MY SKIN! He walks in asks me why I'm there and has his assistant hand me some pamphlets on eczema, then began to leave... I was absolutely STUNNED.! He didn't even address the reason why i came in! Actually he hardly spoke to me, but not before asking to ""look at the back of my legs""!  Hello! the problem was with my hands you inappropriate rude pervert! I felt so angry and violated!

He took  just a few seconds to actually look at my skin! A dermatologist looking at skin.... Oh the thought!  I was so confused.   The ladies in the front were very sweet and welcoming. I had heard that they didnt have the best customer service BUT THE PROBLEM WAS THIS JERK DOCTOR! All he seemed to care about  is shuffling people through and making as much money as possible.Especially if you have insurance!! I was charged more than $275 on my insurance for less than five minutes of this quack's time! If you actually have a problem I suggest going somewhere else.Unless you plan on having an expensive procedure done. Then you have come to the right place and I'm sure you will get the royal treatment! NEVER NEVER AGAIN!!!!!!"
175,The doctors ordered tests that were unnecessary and did not tell me prior that it would cost me $400. Never again!
176,"If I had a choice, I would not even give them 1 star!!!  I had my wisdom teeth extracted here, I was put to sleep for the procedure.  I woke up, and let me tell you I can remember everything that happened from the time I woke up.  I got off the chair and asked what my co-pay for the extractions is.  The receptionist told me I do not have a co-pay.  I said ok Thank you and made sure I saw the dentist to tell him thank you before I walked out the door.  The following day I got a threatening phone call from the receptionist saying that I left without paying them my co-pay, they said they screamed for me to come back as I walked out of the office, False! That never happened.  I asked them to send me the bill for it and I would gladly pay for it.  The last thing I wanted was a negative mark on my credit report.  Months went by, I didn't receive a bill.  I would call to ask for it, they said they sent and would send another one.  The next thing I know, I get a bill from the collection agency for a larger amount than what I was told.  I called the office, of course they spoke to me in the rudiest way possible and said that those were late charges.  I was astonished!
And to add to this nightmare, I don't know how they extracted my wisdom teeth, but I had a large cut on both sides on my mouth, they must tried to open my mouth bigger than it could open.  I couldn't eat for a week and half.
After that visit is when several patience from my pharmacy told me, ""I could've told you not to go there.""  
Never again!  
PLEASE STAY AWAY FROM THIS PLACE!
Patients deserve honesty, it's our health!"
177,Made an appointment for 2:30pm and registered online. Got to my appointment 10 min early. Checked in and paid. Said that I'd be next. Still waiting at 3:05!!! I left work for this? If I wasn't so sick and or my doctor had an available appointment I would never have come here. Never again!
178,"I have had a few ""basic"" teeth cleaning at this location. On my first visit, I wasn't very pleased with the whole experience. But, I decided to give them a second chance. I had another visit a few weeks ago. I can't recall the name of the doctor, but certainty was a much better experience, WAY better than the first time! 

Last time, while there, I totally missed asking my Dr. for a prescription for a medication (cold sore). I'm having a really bad burning on my lip for the last few hours so, I stopped by today, 3/29/2018 and I asked the front desk person if it was possible to get a prescription, since I was just there recently. I was told that I needed to pay for the visit. $95!? Are you serious!? I said no, thanks and left.

To all who are reading this honest review, BE CAREFUL, do yourself a favor and have your teeth clean someplace else. I will never put a foot here in the future, never again! 

Good thing that as I steeped out, I went back and asked for a copy of my last full mouth x-rays I had done a little bit ago. They just lost me!

No wonder why this place have terrible reviews."
179,Waited 2.5 hours and STILL haven't been seen! Then they said it'll be ANOTHER hour before I get seen!!!!! Never again! NO ONE communicated ANYTHING to me! I will NEVER come here again!
180,"Listen and listen good. Whatever y'all do, please don't EVER go to the Great Expressions Dental Center on Cascade. I don't care if all of your teeth are hanging on by lil pieces of gum, DON'T GO! I've never had a good experience there but tried to continue going to support US. NEVER AGAIN!"
181,"Never again! Very unprofessional. The only way to speak with anyone over the phone is if you leave a voice mail and wait. And they warn you if you call more than once, your return call will be ""delayed."" Had a horrible time trying to submit a prescription, and once they did, they sent it with the wrong name. What kind of medical office is this?!?!! Medication is time-sensitive!! I was supposed to begin my prescription 9 days ago and they have yet to send the correct prescription to my pharmacy. I'm looking into malpractice. I would never recommend this place to anyone. I am so disappointed that I can be treated this way! I have insurance and paid my copay and everything."
182,Was there for 15 minutes...Receptionist not friendly...It was close to closing and they wanted to rush us out of there and send us to ER..They quickly looked at my child and said take him to ER even though it was just a flu..We were there for 15 minutes and got $400 bill..Never again!
183,"I seriously love Zoomcare. They take something that inherently is pretty shitty and make it as pleasant as possible. 

Before I started using Zoomcare, I went to a large teaching hospital for all my medical appointments, where I often had to wait to be seen for more than an hour beyond my scheduled appointment time and waiting in line to check in was on par with the dmv.  

Never again! At Zoomcare, your appointment time actually means something and the doctors are ready when they're supposed to be. Booking is straightforward. The receptionist is friendly. The doctors are competent and kind. All wins in my book.  

The only thing I wish they would improve is their website's compatibility with mobile browsers -- either that or make a booking app."
184,"DO NOT DO LASER HAIR WITH THIS PEOPLE!

This place is a scam! All they want is your money. They always cancel my appointments at the last minute. The receptionists that talk to you over the phone are rude and can't speak clear English. There are other places out there better than this people. Do not waste your money and time with them.

* I've had 4 sessions (underarm) and my hair is still there. I still have to shave everyday...

Update: What was bad, became worse. After 3 months trying to go there and having several appointments cancelled, they finally scheduled me. I went there and my laser session (underarms) hurt more than the previous times. Also, I felt a burning sensation on my way back home. When I arrived home, I saw that my armpits were literally burned! I had little red dots all over it (had never felt that in any of the sessions done before). I could not wear deodorant for several days. A week has passed and now the red dots became gray. I wonder if the skin will fall of...

That's what happens when you buy groupon deals... never again!"
185,"I would rather pull my teeth out then EVER come here again. Unhelpful staff, long wait time, and uninformative.  Never again!"
186,"Contemplated about writing a review for this establishment. Just glimpsing at the reviews validates my experience was correct.

FYI~ I'm a domesticated cat in the area of  spa/therapy/massage/asian remedies etc...
Got a last minute appointment on a Tuesday for a massage (mainly for my knee). Lady on the phone was pleasant and I confirmed my appointment for 20 mins acupuncture and 40 mins massage.  
I arrived early and was surprised how different this location is compared to the Unihealth on South Granville I've visited 2 years back.
I've reconfirmed my treatment plan with the receptionist and proceeded to one of the rooms. Typical gown and thin sheets. No complaints no praises.
Acupuncturist comes in and inquires topic of treatment and proceeds. I've received 2 needles and leaves me in a thin sheet for 30 mins. 
Returns on the 31st min and delicately move the skin on my neck and shoulder one cold hand at a time from beginning to ending for the remainder of the time. Her hand still cold at the end.

Technique~ Fail
Effort ~Fail
Attitude~Fail

I've left in worst condition before even going in for the treatment.
What is this? $25 dollar a needle?!
I sat back in my car with the heat and seat warmer on. Confused, mentally and physically tired calling my MT for emergency treatment on this treatment.

Never again!"
187,"I have the most complicated mouth. 
I constantly have something going on with my mouth, due to TMJ work done, almost 40 years ago! I went to different people back then, but never again!
The only people I trust are Dr Vanstrom and his staff! It is perfectly clear that the patient comes first! He is great about listening and so is his staff! 
You can feel the welcome when you walk in the door! 
Trust me!!!! Don't go anywhere else!!  EVER!!!"
188,"Never again! Straight to the point. The Station Seat where I was told to sit was unbelievably incredibly filthy, and I mean FILTHY! Black marks, black stains, with some sort of really gross looking gooey orange sludge stains all around the very edge of the base. It all looked as if it had been gone over with a heavily soiled dirty mop. Imagine spreading those nasty bacterial germs from room to room to incubate for the next day's patients. I know, hard to believe, but in all my 62 years I've never seen any Dental operating room even remotely close to how disgusting this was.

OH! but it got worse! After noticing all that, and even said something about it, the assistant started mounting the 3 instrument drill tools soon to be used in my mouth with her bare hands after just watching her typing on the computer for the last 5 mins, and touching everything else she came in contact with. Like I said, NEVER AGAIN! So as a warning, and you value your health, ENTER AT YOUR OWN RISK!"
189,"I saw Dr. Moses Gallegos and I am actually amazed he is allowed to see patients.  He was condescending and mean.  And he did not care that I was on the verge of tears with everything he was saying to me.  
And the worst part is that he would not even exam me even though I told him I was in pain!  He totally acted like I was wasting his time.  I saw him earlier in the year and he acted the same way, but I know everyone has a bad day so I gave it a second chance.  But never again!  I will change practices if I have to."
190,"Sadly after getting lip augmentation I was shocked on the price increase since I travel and used to love to come and have several things done ; this was the second time I questioned a price increase . But not only have they changed quite a bit they cant seem to keep staff. High turn over rate here. People that used to work here try to encourage me to go elsewhere but i remained loyal. But what happened to me was inexcusable not only did  the front desk new receptionist ignore me when l questioned the high bill for the same filler that was used the last time, but she was rude and was strangely avoiding me. After the fact she gets the office manager wife of Dr. Hall, who continues to berate me over the fact I got discounts but failing to tell me before hand there was a price increase. It was like SURPRISE --  the second time this happened here. Embarrassing was the word! And her indiscretion and telling me off in front of several people was to shut me up and her cruel smile made obvious that she felt she won the augument. How could anyone come to place that would purposely embarrass their clientele and expect them to return blaming you, not them. Sadly a woman who happened to be a witness at Halls ran into me at the grocery store  came up to me and told me I was in the right by her failure to inform me of the price increase. So For this reason be warned before any procedures -- ask for the price in writing. This is not Bevery Hills where they bill you without giving you a price  -- been there done that. Never again!  Plain greed, UPDATE .................After this review was posted TIsha Hall called my private residence SEVERAL times  and confronted me at HEB when I went grocery shopping yesterday upset about the review I wrote; her harassment is getting  concerning I  am planning to report her to the BBB and law enforcement if she continues to stalk and berate me. She has real anger issues. Still shocked by the behavior. I say never again."
191,"About 2 years ago I went to see Dr. Eaccarino (everyone calls him Dr. E) he is probably the worst doctor I have ever been too. No joke. I told him I was doing natural family planning (it worked for me and my husband for 10 years) and he had a smug attitude and told me well there must be something wrong with you bc it doesn't work. His mannerisms, his cocky-matter of fact attitude, and his lecturing me on my medication choices were ridiculous. He is very arrogant. I have doctors I absolutely love that have never acted the way he did! It's been 2 years since I've gone to an obgyn bc of the stuff he said to me. If I could give him no stars I would. Maybe work on some bedside manners Dr. E? Maybe treat your patients better? Maybe cut out the snarky comments? Never again!"
192,"Second time here in a week and the wait is longer than 3 1/2 hours as they say you will have to wait! The customer service is horrible. I ask how long is the wait for the 5th time and I get the same answer ""we have emergencies"". Ok I get that but we have been here well over 4 hours already! Ugh never again!"
193,"Wow, total incompetence. I took my son there Monday night (he was sick with fever Friday, Sat and Sunday so 2 school days missed). He had a horrible sour throat, fever, lethargic and miserable. And he had bumps on his face. Rather than the doctor actually doing her job and testing for flu and strep she diagnosed him with Hand Foot Mouth disease even though he is 8 and that is a toddler virus. No medicine, no antibiotics. We went home and he continued to get worse. Took him to s real doctor Friday morning (day 8). Raging ear infection and Strep. That doctor could have done the strep test and given him antibiotics on MONDAY. So he misses 6 days of school and is pain because of incompetence. Never again!!"
194,"This was not my first stay at the Peach, but it will absolutely be my last. The climate is kept so cold you need to wear sweats practically 24/7. I needed 4 blankets at night. One hand doesn't know what the other is doing, as some clerk was very insistent that they changed their rules and now only allowed seeing eye dogs. I politely explained to her the difference between an emotional support dog and a Registered Service Dog. But this lady would not take no for an answer, even tho it had already been cleared with PTH. She rudely asked me if I had any paperwork on her, which, by the way I am not legally required to carry, but I did  have her collar clip, the back of which has the ADA OF 1990 guidelines on the back. I watched her read it, say they that's nice but they only allow seeing eye dogs and grabbed my meds bag. I told her unless that dog was going back with me, she better drop those meds. It went downhill from there. NEVER AGAIN!!! Must say, props to nurses and mht's. Only people that made it bearable!"
195,"Worst experience ever at the dentist.  My whole reason for going was a cleaning, yet nobody in the office seemed aware of that fact.  I had to remind every single person.  Come to find out their calendar had me scheduled for a cleaning.  Why would the hygienist, dentist, assistant, and receptionist not know that.  After waiting for over 45 mins, I finally got taken back for x-ray only to discover the equipment didn't work.  When it came time for the actual cleaning, I had to wait another 30 mins.  Every member of the staff I encountered dropped the ball.  When  I informed the office manager of this, she called the two front office workers over and asked me to tell them what the issues were; awkward and unprofessional.  The office manager kept saying to let her know if there was nothing she could do to make it up to me.  I said she could wave the $60 fee they were charging, to which she replied they couldn't do, then offered me a free tooth brush and mouthwash.  NEVER AGAIN!"
196,"Never again! Go here if you have nothing to do but sit here and wait all day! I'm not exaggerating either. Upon arrival I was informed there was a two hour wait.. I proceeded to fill out the forms and waited. 2 hours turns into 3, then upon calling your name they sit you in a room where the nurse checks your vitals etc. Places you in another room and says ""you're next to be seen by the Dr"". Well, 15 min later nothing, 30 min later nothing, an hour more later and no sign of the Dr. I literally had to lose it to get serviced. After alll this is an urgent care!?!! Well, definitely no sense of urgency and the Dr although a pretty ""nice person"" doesn't seem to realize the importance and value of patient experience. So in a nutshell, after 5 1/2 hours I guess I can say I was seen and diagnosed by the physician. Good thing I went to urgent care.... 

Save your money and time and go elsewhere."
197,"First let me say I have been to this location in the past to meet with Dr. Anthony Mills who is Amazing at what he does, I've been treated by Dr. Mills for over a year now with HUGE success and I HIGHLY recommend him! HOWEVER, I do not recommend you visit this location unless you verify he is in. BE WARNED do NOT waste your time to go in and meet with the woman with the heavy Russian accent who claims to be a ""Nurse Practitioner"" She is RUDE beyond explanation, She walks around as if she is Miss Russia! I will never step foot inside this location again! This is the second time I have come to the Concourse location only to be met by RUDE, Obnoxious unfriendly staff MORE SO the ""Nurse Practitioner"" whatever her name is the Russian with short red hair and the ATTITUDE the size of TEXAS! Who do you think you are speaking to people the way you do? I just got up and walked out. Both my husband and I had appointments to meet with Dr. Mills, who I was told had a personal emergency and would not be able to see us, but the ""Nurse Practitioner"" would be assisting us. Well lets just say I can almost understand why she's got a black eye! Somebody didn't take your rudeness so lightly? It's a sad shame people like her can affect a business owner and their business with such bad ratings! I will follow Dr. Mills to any other location, but this one NEVER AGAIN! Good luck keeping your business going.. I would almost bet she's not a real ""nurse practitioner, or at least not here in the US!"
198,"I saw a doctor and Diagnosed with upper respiratory infection for 7 days. Tells me to go buy Afrin and spray up my nose. Took my insurance and $80 co-pay. Follow up with primary if not better in 2-3 day. Called back 4 days later still sick . Makes it 11 days sick. Asking them to call in an Antibiotic. They said I would have to come in again and pay the same amount for another doctor to see me??? For what to tell me I need two aspirin!! I need an antibiotic!! God I'm not a magician or a Doctor but God an Infection usually calls for an Antibiotic!  Never Again! By the way I waited 7 days to go because I didn't have the co-pay. I don't have it for a second time. Sitting at home still sick. I asked the assistant to call the doctor that saw me Dr. Wiboon to call in a prescription and she said ""He's going to need to see you again."" I again stated I didn't have the money to cover the co pay and she said. ""Yea, I'm sorry about that"" and hung up."
199,NEVER AGAIN!!!!!!! Terrible customer service. They are very rude and act like they cannot be bothered!! Stay away from this place. My glasses  were suppose to get delivered to my house and they got lost in the mail. THEN when I call them theyy give me an attitude about it! I'm done with going to LensCrafters!
200,Still sitting here after checking in online at 800 this morning for a 1230 pm slot.  So far I waited outside for an hour and now in a room for half an hour and only my vitals were done.  I have an injured wrist and feel the er may have taken me in sooner than this.  Never again!!
201,"If you're looking for a dentist for your child this is NOT the place. No child experience. I was told to find a pediatric dentist. Unhappy with the visit. The two girls upfront were nice though! I didn't even know I had saw the dr because she didn't introduce herself. Didn't tell me if my daughter had any cavities, I had to ask one of the girls upfront. First and last time here for us. Plus we waited a hr to get a cleaning. Never again!"
202,"Great staff, out of control rude alpha female doctor.  It's her way or the highway, and she makes that very clear.  If you like being demeaned, mocked and generally pushed around, this is the doctor for you!  Never, never again!!"
203,"I wish I had read the reviews before going to Great Expressions Midtown.   I am new to Atlanta and this office is located within walking distance of home and covered by my insurance, so I gave it a go.  My dental visits are routine and nothing has changed since my last visit, yet the dentist insisted on trying to sell me braces (something I do not need) and the most expensive cleaning (something else I do not need)... then refused to do a basic cleaning when I declined the up-charges and ""treatment plans"".  The equipment was old and falling apart.  The mouth guards were so dilapidated that they hurt my mouth and I couldn't keep them in long enough for proper x-rays. Never again!"
204,"Just plain slow, rude, and awful service. Well other than the guy at the front desk. He's about the best person they have there working. On August 29 around 5pm, when I arrived it was only me and one other person there. The other person was in and out in a matter of minutes. However then it took almost an hour to me. By then several other people came in. Then they called a person that had come in about 30 minutes behind me to the back and then me. The girl then proceeded to help the other person that came behind me by doing their weight and putting them into a room. She then just placed me in a room without weighing me or anything. I asked why was the long delay and she said they were eating. After then I was placed in the room. Then about 15 min later another girl came and asked general questions. However after she left I waited, and waited, and after what seemed like forever. So I went asked will the doctor be seeing me anytime soon and I was informed that he would be seeing the person that came behind me first. I was like unbelievable. It would've been faster for me to just go to the ER or Centra Care. Never again! A complete waist of time, effort, and energy. I had to end up leaving there and ultimately going to the ER. Just awful. No type of regard or respect for anyone's time. No type of communication, just nothing . I can understand if they were busy, however that wasn't the case, it was poor service."
205,"This has to BE tHe woRst hospital experience ever! My wife is 32 weeks pregnant came in because she has thee flu and can not breathe properly and she has very bad chest pain.  They take her back wait  20mins before they take vitals. Take another 30 mins before they do blood work and then put us back into the waitting room. Not once did they check her lungs, her throat  or why she is in pain and not even once did they check to see if our child is still okay. Not only that but the waiting room they  have a nurse come out and take out someone's  I.v line out who ichni thought was  gross and very insanitary. Horrible experience here! I will never cOme back here again and I hope Anyone who reads this understands  how disappointed my wife and myself were when coming to this hospital. Never again! Worst hospital in Columbus!"
206,"This was not my first stay at the Peach, but it will absolutely be my last. The climate is kept so cold you need to wear sweats practically 24/7. I needed 4 blankets at night. One hand doesn't know what the other is doing, as some clerk was very insistent that they changed their rules and now only allowed seeing eye dogs. I politely explained to her the difference between an emotional support dog and a Registered Service Dog., even tho the dog had already been cleared with PTH. She rudely asked me if I had any paperwork on her, which, by the way I am not legally required to carry, but I did  have her collar clip, the back of which has the ADA OF 1990 guidelines on the back. I watched her read it, say they that's nice but they only allow seeing eye dogs and grabbed my meds bag. I told her unless that dog was going back with me, she better drop those meds. It went downhill from there. NEVER AGAIN!!! Must say, props to nurses and mht's, the ONLY people that made it bearable!  They do a hell of a job with what they've got to work with. They earned my 1 star. The other 4- good luck."
207,"Terrible office. I get blood work done. Doctor Zelner gives me the findings but she does not give me prescriptions nor solutions. She just tells me to buy her book. After over charging me and getting a terrible check up, I got basically nothing! NEVER again!"
208,"Definitely the dirtiest looking hospital that I've been to in Austin. We arrived at 1:00 pm, and there was no one at the information desk. We followed the signs to outpatient services, but only found empty desks. Still no one at the information desk, but a nurse by the elevators told us outpatient services had recently moved to the 2nd floor. Wonder when they'll be changing the signs, or hiring enough people to have desk coverage. Then outpatient services said they hadn't received the orders from the doctor, which is unlikely since we saw the nurse fax them. Nobody seemed terribly competent or interested in customer service. It was my mom who needed to go here, but NEVER AGAIN!"
209,Terrible!!! Avoid this place at all costs!!! Went in to see an ophthalmologist for an eye issue I had just so they would tell me I had a form of conjunctivitis and that it would just go away on its own and didn't prescribe me anything! Then they had the nerve to send me a bill for 150 dollars for literally NOTHING!!!! Never again!
210,"Interesting observation that the only comments here are from awhile ago and the most recent one is from the administrator of the place. This may have once been a fine place but no longer. My mother consistently received sub-par care, benign neglect at best. There are a few good staff members in the nurses and physical therapy staff, but the rest have some very poor unhappy attitudes that are reflected in their patient care (or lack of). I could write pages and pages about how my mother managed to  ""somehow"" fall and break her hip on visit one, and on visit two (never again!) was literally screaming in pain from a perforated ulcer on her stomach wall (likely caused from too much aspirin being administered) for several hours during which time a staff member told her to shut up or she would give her something to scream about. Horrible place. I honestly can't say anything nice or positive about the place. Depressing atmosphere, subpar staff, and poor care. Avoid!"
211,"Never again!!!! Never, first Florida Blue says ins accepted however was charged not the $35 copay but $189 wth I'm too sick to care.  

No don't have Coronavirus symptoms therefore I guess I'm a nobody!! Had a 3 pm appt waited in lobby til 350 pm have had vitals taken and have been setting back here since then which makes my wait time 1 hr 45 min with an appt.    NEVER AGAIN. However would love to see Dr Deborah go into private practice she is awesome....."
212,"Absolutely the worst business to ever deal with. You will spend days/weeks trying to get anyone on the line from billing, but if you want to become a new patient they will answer within 2 rings. Staff is rude and condensing so if it were possible to give zero stars I would have. Never again!"
213,The wait is terrible . Not sure why the feel like it's okay to have anyone sitting in a waiting room for over an hour. There are way too many eye doctors in the city to put up with this . Never again!!
214,"Please do yourself a favor and stay FAR FAR AWAY from Ideal Image. Not only will they not return your 3 phone calls and fail to keep appts, the office manager, Denise McIntyre, might think it's more important to meet the locksmith at her apt than you. Icing on the cake is their estimate of $8586 for 9 treatments of legs-only laser hair removal (kindly financed by their bank at 22.4%t). Long backstory short, my husband purchased a $325 gift certificate (recco by 96.7 Bobby Bone's show), which turned out to be only ONE THIRD the price of the FIRST treatment. After said rigmarole we were told the g.c. was absolutely non-refundable ""as stated on the back"". It finally took 2 weeks of escalation to the VP to get our money back. I've since found a great deal on Group-on for, $99/3 treatments (only 6 suggested). Ok, my bad for not trusting yelp in the first place...never again!"
215,"Had Coolsculpting done, left me permanently bruised. Staff/doctor did not care. Gave me some bullshit cream to pacify me. Told me it would fade. Never did. NEVER AGAIN!!!"
